"161720","招商中证全指证券公司指数(LOF)","ZSZZQZZQGSZSLOF","1.1390","0.7365","1.0648","0.7110","0.0742","6.97","限大额","开放赎回","","1","0","30","","1","0.10%","0.10%","1","1.00%"
"005224","广发中证基建工程指数C","GFZZJJGCZSC","0.7399","0.7399","0.7319","0.7319","0.0080","1.09","开放申购","开放赎回","","1","0","31","","0","0.00%","","",""
"005223","广发中证基建工程指数A","GFZZJJGCZSA","0.7428","0.7428","0.7348","0.7348","0.0080","1.09","开放申购","开放赎回","","1","0","32","","1","0.10%","0.10%","1","1.00%"
"900087","中信证券信远一年持有混合C","ZXZQXYYNCYHHC","0.7506","0.7506","0.7414","0.7414","0.0092","1.24","开放申购","开放赎回","","","0","33","","","0.00%","","",""
"900077","中信证券信远一年持有混合B","ZXZQXYYNCYHHB","0.7506","0.7506","0.7414","0.7414","0.0092","1.24","开放申购","开放赎回","","","0","34","","","1.50%","","",""
"900027","中信证券信远一年持有混合A","ZXZQXYYNCYHHA","0.7507","0.7507","0.7415","0.7415","0.0092","1.24","封闭期","开放赎回","","","0","35","","","","","",""
"001184","易方达新常态灵活配置混合","YFDXCTLHPZHH","0.7610","0.7610","0.7450","0.7450","0.0160","2.15","开放申购","开放赎回","","1","0","36","","1","0.15%","0.15%","1","1.50%"
"160717","嘉实恒生中国企业","JSHSZGQY","0.7630","0.7630","0.7595","0.7595","0.0035","0.46","开放申购","开放赎回","","1","0","37","","1","0.15%","0.15%","1","1.50%"
"519651","银河转型混合","YHZXHH","0.77","0.77","0.7620","0.7620","0.0080","1.05","开放申购","开放赎回","","1","0","38","","1","0.15%","0.15%","1","1.50%"
"010524","银华中证5G通信主题ETF联接C","YHZZ5GTXZTETFLJC","0.7719","0.7719","0.7593","0.7593","0.0126","1.66","开放申购","开放赎回","","1","0","39","","0","0.00%","","",""
"008889","银华中证5G通信主题ETF联接A","YHZZ5GTXZTETFLJA","0.7726","0.7726","0.7599","0.7599","0.0127","1.67","开放申购","开放赎回","","1","0","40","","1","0.12%","0.12%","1","1.20%"
"001214","华泰柏瑞中证500ETF联接A","HTBRZZ500ETFLJA","0.7767","0.7767","0.7668","0.7668","0.0099","1.29","开放申购","开放赎回","","1","0","41","","1","0.10%","0.10%","1","1.00%"
"502003","易方达中证军工(LOF)","YFDZZJGLOF","1.2005","0.7768","1.1579","0.7507","0.0426","3.68","开放申购","开放赎回","","1","0","42","","1","0.10%","0.10%","1","1.00%"
"161628","融通中证云计算与大数据主题指数(LOF)","RTZZYJSYDSJZTZSLOF","1.0624","0.7771","1.0410","0.7630","0.0214","2.06","开放申购","开放赎回","","1","0","43","","1","0.12%","0.12%","1","1.20%"
"006087","华泰柏瑞中证500ETF联接C","HTBRZZ500ETFLJC","0.78","0.78","0.77","0.77","0.01","1.30","开放申购","开放赎回","","1","0","44","","0","0.00%","","",""
"004244","东方周期优选灵活配置混合","DFZQYXLHPZHH","0.7808","0.7808","0.7746","0.7746","0.0062","0.80","开放申购","开放赎回","","1","0","45","","1","0.15%","0.15%","1","1.50%"
"161031","富国中证工业4.0指数(LOF)","FGZZGY40ZSLOF","0.9810","0.7850","0.9590","0.7760","0.0220","2.29","开放申购","开放赎回","","1","0","46","","1","0.12%","0.12%","1","1.20%"
"160637","鹏华创业板指数(LOF)","PHCYBZSLOF","1.3120","0.7870","1.2750","0.7720","0.0370","2.90","开放申购","开放赎回","","1","0","47","","1","0.12%","0.12%","1","1.20%"
"001723","华商新动力混合","HSXDLHH","0.7966","0.7966","0.7739","0.7739","0.0227","2.93","开放申购","开放赎回","","1","0","48","","1","0.15%","0.15%","1","1.50%"
"004752","广发中证传媒ETF联接A","GFZZCMETFLJA","0.8013","0.8013","0.7958","0.7958","0.0055","0.69","开放申购","开放赎回","","1","0","49","","1","0.12%","0.12%","1","1.20%"
"004753","广发中证传媒ETF联接C","GFZZCMETFLJC","0.8017","0.8017","0.7962","0.7962","0.0055","0.69","开放申购","开放赎回","","1","0","50","","0","0.00%","","",""
"162412","华宝医疗ETF联接A","HBYLETFLJA","1.4071","0.8073","1.3987","0.8037","0.0084","0.60","开放申购","开放赎回","","1","0","51","","1","0.12%","0.12%","1","1.20%"
"161036","富国中证娱乐主题指数增强型","FGZZYLZTZSZQX","0.8107","0.8107","0.8015","0.8015","0.0092","1.15","开放申购","开放赎回","","1","0","52","","1","0.12%","0.12%","1","1.20%"
"000800","华商未来主题混合","HSWLZTHH","0.8130","0.8130","0.7990","0.7990","0.0140","1.75","开放申购","开放赎回","","1","0","53","","1","0.15%","0.15%","1","1.50%"
"005360","汇安资产轮动混合","HAZCLDHH","0.8145","0.8145","0.7896","0.7896","0.0249","3.15","开放申购","开放赎回","","1","0","54","","1","0.15%","0.15%","1","1.50%"
"010956","天弘中证智能汽车指数发起式C","THZZZNQCZSFQSC","0.8184","0.8184","0.8017","0.8017","0.0167","2.08","开放申购","开放赎回","","1","0","55","","0","0.00%","","",""
"010955","天弘中证智能汽车指数发起式A","THZZZNQCZSFQSA","0.8189","0.8189","0.8022","0.8022","0.0167","2.08","开放申购","开放赎回","","1","0","56","","1","0.10%","0.10%","1","1.00%"
"002182","东兴蓝海财富混合","DXLHCFHH","0.8210","0.8210","0.8070","0.8070","0.0140","1.73","限大额","开放赎回","","1","0","57","","1","0.15%","0.15%","1","1.50%"
"502010","易方达证券公司(LOF)","YFDZQGSLOF","1.2230","0.8237","1.1431","0.7740","0.0799","6.99","开放申购","开放赎回","","1","0","58","","1","0.10%","0.10%","1","1.00%"
"008586","华夏中证人工智能主题ETF联接C","HXZZRGZNZTETFLJC","0.8310","0.8310","0.8210","0.8210","0.01","1.22","开放申购","开放赎回","","1","0","59","","0","0.00%","","",""
"008585","华夏中证人工智能主题ETF联接A","HXZZRGZNZTETFLJA","0.8332","0.8332","0.8232","0.8232","0.01","1.21","开放申购","开放赎回","","1","0","60","","1","0.12%","0.12%","1","1.20%"
"004834","先锋聚利混合C","XFJLHHC","0.8381","0.8381","0.8243","0.8243","0.0138","1.67","开放申购","开放赎回","","1","0","61","","0","0.00%","","",""
"001042","华夏领先股票","HXLXGP","0.8440","0.8440","0.8240","0.8240","0.02","2.43","开放申购","开放赎回","","1","0","62","","1","0.15%","0.15%","1","1.50%"
"872015","广发资管昭利中短债A","GFZGZLZDZA","1.0274","0.8458","1.0273","0.8457","0.0001","0.01","开放申购","开放赎回","","1","0","63","","1","0.04%","0.04%","1","0.40%"
"160634","鹏华中证环保产业指数(LOF)","PHZZHBCYZSLOF","1.15","0.8480","1.1280","0.8340","0.0220","1.95","开放申购","开放赎回","","1","0","64","","1","0.12%","0.12%","1","1.20%"
"004643","南方房地产ETF联接C","NFFDCETFLJC","0.8484","0.8484","0.8384","0.8384","0.01","1.19","开放申购","开放赎回","","1","0","65","","0","0.00%","","",""
"010989","南方房地产ETF联接E","NFFDCETFLJE","0.8484","0.8484","0.8384","0.8384","0.01","1.19","开放申购","开放赎回","","1","0","66","","0","0.00%","","",""
"050024","博时上证自然资源ETF联接","BSSZZRZYETFLJ","0.8490","0.8490","0.8531","0.8531","-0.0041","-0.48","开放申购","开放赎回","","1","0","67","","1","0.12%","0.12%","1","1.20%"
"001097","华泰柏瑞积极优选股票","HTBRJJYXGP","0.8510","0.8510","0.8390","0.8390","0.0120","1.43","开放申购","开放赎回","","1","0","68","","1","0.15%","0.15%","1","1.50%"
"004833","先锋聚利混合A","XFJLHHA","0.8527","0.8527","0.8387","0.8387","0.0140","1.67","开放申购","开放赎回","","1","0","69","","1","0.15%","0.15%","1","1.50%"
"001630","天弘中证计算机ETF联接C","THZZJSJETFLJC","0.8569","0.8569","0.8425","0.8425","0.0144","1.71","开放申购","开放赎回","","1","0","70","","0","0.00%","","",""
"010136","泰达高研发创新6个月混合C","TDGYFCX6GYHHC","0.8577","0.8577","0.8262","0.8262","0.0315","3.81","开放申购","开放赎回","","1","0","71","","0","0.00%","","",""
"010135","泰达高研发创新6个月混合A","TDGYFCX6GYHHA","0.8593","0.8593","0.8278","0.8278","0.0315","3.81","开放申购","开放赎回","","1","0","72","","1","0.15%","0.15%","1","1.50%"
"004642","南方房地产ETF联接A","NFFDCETFLJA","0.8610","0.8610","0.8509","0.8509","0.0101","1.19","开放申购","开放赎回","","1","0","73","","1","0.12%","0.12%","1","1.20%"
"010888","南方消费升级混合C","NFXFSJHHC","0.8629","0.8629","0.8579","0.8579","0.0050","0.58","开放申购","开放赎回","","1","0","74","","0","0.00%","","",""
"002196","金鹰技术领先灵活配置混合C","JYJSLXLHPZHHC","0.8630","0.8630","0.8590","0.8590","0.0040","0.47","限大额","开放赎回","","1","0","75","","0","0.00%","","",""
"001128","宝盈新兴产业混合","BYXXCYHH","0.8640","0.8640","0.8520","0.8520","0.0120","1.41","开放申购","开放赎回","","1","0","76","","1","0.15%","0.15%","1","1.50%"
"010887","南方消费升级混合A","NFXFSJHHA","0.8646","0.8646","0.8596","0.8596","0.0050","0.58","开放申购","开放赎回","","1","0","77","","1","0.15%","0.15%","1","1.50%"
"001349","富国改革动力混合","FGGGDLHH","0.8660","0.8660","0.8580","0.8580","0.0080","0.93","开放申购","开放赎回","","1","0","78","","1","0.15%","0.15%","1","1.50%"
"005052","上投标普港股通低波红利指数C","STBPGGTDBHLZSC","0.8669","0.8669","0.8641","0.8641","0.0028","0.32","开放申购","开放赎回","","1","0","79","","0","0.00%","","",""
"009987","天弘创新领航C","THCXLHC","0.8674","0.8674","0.8475","0.8475","0.0199","2.35","开放申购","开放赎回","","1","0","80","","0","0.00%","","",""
"001629","天弘中证计算机ETF联接A","THZZJSJETFLJA","0.8679","0.8679","0.8533","0.8533","0.0146","1.71","开放申购","开放赎回","","1","0","81","","1","0.10%","0.10%","1","1.00%"
"010306","华夏创新驱动混合C","HXCXQDHHC","0.8695","0.8695","0.8595","0.8595","0.01","1.16","开放申购","开放赎回","","1","0","82","","0","0.00%","","",""
"009986","天弘创新领航A","THCXLHA","0.8699","0.8699","0.8499","0.8499","0.02","2.35","开放申购","开放赎回","","1","0","83","","1","0.15%","0.15%","1","1.50%"
"161831","银华恒生中国企业指数","YHHSZGQYZS","0.8707","0.8707","0.8670","0.8670","0.0037","0.43","开放申购","开放赎回","","1","0","84","","1","0.12%","0.12%","1","1.20%"
"011445","创金合信瑞裕混合C","CJHXRYHHC","0.8711","0.8711","0.8536","0.8536","0.0175","2.05","开放申购","开放赎回","","","0","85","","","0.00%","","",""
"011712","大摩万众创新混合C","DMWZCXHHC","0.8719","0.8719","0.8314","0.8314","0.0405","4.87","开放申购","开放赎回","","1","0","86","","0","0.00%","","",""
"011444","创金合信瑞裕混合A","CJHXRYHHA","0.8720","0.8720","0.8546","0.8546","0.0174","2.04","开放申购","开放赎回","","","0","87","","","1.20%","","",""
"011607","民生中证内地资源主题指数C","MSZZNDZYZTZSC","0.8720","0.8720","0.8750","0.8750","-0.0030","-0.34","开放申购","开放赎回","","1","0","88","","0","0.00%","","",""
"002885","大摩万众创新混合A","DMWZCXHHA","0.8722","0.8722","0.8316","0.8316","0.0406","4.88","开放申购","开放赎回","","1","0","89","","1","0.15%","0.15%","1","1.50%"
"010305","华夏创新驱动混合A","HXCXQDHHA","0.8728","0.8728","0.8628","0.8628","0.01","1.16","开放申购","开放赎回","","1","0","90","","1","0.15%","0.15%","1","1.50%"
"001792","大成绝对收益策略混合C","DCJDSYCLHHC","0.8730","0.8730","0.8720","0.8720","0.0010","0.11","开放申购","开放赎回","","1","0","91","","0","0.00%","","",""
"690008","民生中证内地资源主题指数A","MSZZNDZYZTZSA","0.8730","0.8730","0.8750","0.8750","-0.0020","-0.23","开放申购","开放赎回","","1","0","92","","1","0.12%","0.12%","1","1.20%"
"010609","华泰柏瑞质量领先混合C","HTBRZLLXHHC","0.8732","0.8732","0.8621","0.8621","0.0111","1.29","开放申购","开放赎回","","1","0","93","","0","0.00%","","",""
"161838","银华创业板两年定期开放混合","YHCYBLNDQKFHH","0.8738","0.8738","","","","","暂停申购","暂停赎回","","6","0","94","","1","0.15%","0.15%","1","1.50%"
"257060","国联安上证商品ETF联接","GLASZSPETFLJ","0.8749","0.8749","0.8777","0.8777","-0.0028","-0.32","开放申购","开放赎回","","1","0","95","","1","0.15%","0.15%","1","1.50%"
"010608","华泰柏瑞质量领先混合A","HTBRZLLXHHA","0.8754","0.8754","0.8642","0.8642","0.0112","1.30","开放申购","开放赎回","","1","0","96","","1","0.15%","0.15%","1","1.50%"
